"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_check_array_constructor_defaults","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"Test xds has correct l and m values and attributes","0","test_xds_l_m_axis","tests.integration","Thu Jul 03 15:08:10 GMT 2025","passed","Thu Jul 03 15:08:10 GMT 2025","casa_image_to_xds_test","test_copy_image","",""
"Test xds level attributes","1","test_xds_attrs","tests.integration","Thu Jul 03 15:08:10 GMT 2025","passed","Thu Jul 03 15:08:10 GMT 2025","casa_image_to_xds_test","test_copy_image","",""
"Test xds has correct beam values and attributes","1","test_xds_beam_param_axis","tests.integration","Thu Jul 03 15:08:10 GMT 2025","passed","Thu Jul 03 15:08:10 GMT 2025","casa_image_to_xds_test","test_copy_image","",""
"
        Test writing an xds which does not have an object name
        to a casa image.
        ","210","test_object_name_not_present","tests.integration","Thu Jul 03 15:08:10 GMT 2025","passed","Thu Jul 03 15:08:10 GMT 2025","xds_to_casacore","test_copy_image","",""
"
            Verify fix to issue 45
            https://github.com/casangi/xradio/issues/45
        irint(""*** r"", r)
        ","3137","test_beam","tests.integration","Thu Jul 03 15:08:11 GMT 2025","passed","Thu Jul 03 15:08:14 GMT 2025","casacore_to_xds_to_casacore","test_copy_image","",""
"Test xds has correct time axis values","1","test_xds_time_vals","tests.integration","Thu Jul 03 15:08:22 GMT 2025","passed","Thu Jul 03 15:08:22 GMT 2025","xds_to_zarr_to_xds_test","test_copy_image","",""
"","2","test_schema_checked_annotation","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"Test xds has correct stokes values","1","test_xds_polarization_axis","tests.integration","Thu Jul 03 15:08:22 GMT 2025","passed","Thu Jul 03 15:08:22 GMT 2025","xds_to_zarr_to_xds_test","test_copy_image","",""
"Test xds has correct frequencyuency values and metadata","1","test_xds_frequency_axis","tests.integration","Thu Jul 03 15:08:10 GMT 2025","passed","Thu Jul 03 15:08:10 GMT 2025","casa_image_to_xds_test","test_copy_image","",""
"","1","test_check_array_dtype_mismatch_constructor","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"","0","test_get_partition_info","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_measurement_set_xdt","",""
