"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 04 20:12:19 UTC 2025","Thu Sep 04 20:12:20 UTC 2025","939","tests","test_tools","TestToolViperTools","","","test_calculate_checksum",""
"passed","Thu Sep 04 20:11:26 UTC 2025","Thu Sep 04 20:11:26 UTC 2025","0","tests","test_client","TestToolViperClient","","","test_client_logger","
Run astrohack_local_client with N cores and with a memory_limit of M GB without any errors and the messages
will be logged in the terminal.
"
"passed","Thu Sep 04 20:12:19 UTC 2025","Thu Sep 04 20:12:19 UTC 2025","0","tests","test_tools","TestToolViperTools","","","test_verify",""
"passed","Thu Sep 04 20:12:17 UTC 2025","Thu Sep 04 20:12:17 UTC 2025","1","tests","test_download","TestToolViperDownload","","","test_private_print_file_queue",""
"passed","Thu Sep 04 20:11:27 UTC 2025","Thu Sep 04 20:11:36 UTC 2025","8312","tests","test_download","TestToolViperDownload","","","test_download_verification",""
"passed","Thu Sep 04 20:11:26 UTC 2025","Thu Sep 04 20:11:26 UTC 2025","1","tests","test_client","TestToolViperClient","","","test__set_up_dask",""
"passed","Thu Sep 04 20:11:26 UTC 2025","Thu Sep 04 20:11:26 UTC 2025","853","tests","test_client","TestToolViperClient","","","test_client_thread_info","
Test that thread_info() function returns the values that were set in the client instantiation.
"
"passed","Thu Sep 04 20:12:08 UTC 2025","Thu Sep 04 20:12:09 UTC 2025","887","tests","test_download","TestToolViperDownload","","","test_update",""
"passed","Thu Sep 04 20:12:10 UTC 2025","Thu Sep 04 20:12:16 UTC 2025","6112","tests","test_download","TestToolViperDownload","","","test_get_file_size",""
"passed","Thu Sep 04 20:12:18 UTC 2025","Thu Sep 04 20:12:18 UTC 2025","0","tests","test_download","TestToolViperDownload","","","test_private_make_dir",""
"passed","Thu Sep 04 20:11:46 UTC 2025","Thu Sep 04 20:12:00 UTC 2025","14007","tests","test_download","TestToolViperDownload","","","test_download_overwrite",""
"passed","Thu Sep 04 20:11:37 UTC 2025","Thu Sep 04 20:11:45 UTC 2025","8128","tests","test_download","TestToolViperDownload","","","test_download_folder",""
"passed","Thu Sep 04 20:11:22 UTC 2025","Thu Sep 04 20:11:24 UTC 2025","1415","tests","test_client","TestToolViperClient","","","test_client_spawn","
Run astrohack_local_client with N cores and with a memory_limit of M GB to create an instance of the
astrohack Dask client.
"
"passed","Thu Sep 04 20:12:19 UTC 2025","Thu Sep 04 20:12:19 UTC 2025","4","tests","test_tools","TestToolViperTools","","","test_private_iter_files",""
"passed","Thu Sep 04 20:11:25 UTC 2025","Thu Sep 04 20:11:26 UTC 2025","856","tests","test_client","TestToolViperClient","","","test_cluster_get","
Test the get_client() function.
"
"passed","Thu Sep 04 20:11:26 UTC 2025","Thu Sep 04 20:11:26 UTC 2025","0","tests","test_client","TestToolViperClient","","","test_load_libraries",""
"passed","Thu Sep 04 20:11:24 UTC 2025","Thu Sep 04 20:11:25 UTC 2025","856","tests","test_client","TestToolViperClient","","","test_client_get","
Test the get_client() function.
"
"passed","Thu Sep 04 20:12:01 UTC 2025","Thu Sep 04 20:12:08 UTC 2025","6602","tests","test_download","TestToolViperDownload","","","test_download_decompress",""
"passed","Thu Sep 04 20:11:26 UTC 2025","Thu Sep 04 20:11:26 UTC 2025","0","tests","test_client","TestToolViperClient","","","test_client_dask_dir","
Run astrohack_local_client with N cores and with a memory_limit of M GB to create an instance of the
astrohack Dask client. Check that temporary files are written to dask_local_dir.
"
"passed","Thu Sep 04 20:12:18 UTC 2025","Thu Sep 04 20:12:19 UTC 2025","853","tests","test_menerva","TestToolViperMenerva","","","test_thread_info",""
"passed","Thu Sep 04 20:12:19 UTC 2025","Thu Sep 04 20:12:19 UTC 2025","66","tests","test_tools","TestToolViperTools","","","test_open_json",""
