"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 04 20:12:53 UTC 2025","Thu Sep 04 20:12:53 UTC 2025","15","tests.unit.measurement_set","test_measurement_set_xdt","","","","test_add_data_group_with_defaults",""
"passed","Thu Sep 04 20:12:53 UTC 2025","Thu Sep 04 20:12:53 UTC 2025","2","tests.unit.measurement_set","test_measurement_set_xdt","","","","test_get_field_and_source_xds",""
"passed","Thu Sep 04 20:12:27 UTC 2025","Thu Sep 04 20:12:27 UTC 2025","0","tests.unit.measurement_set._utils._msv2","test_conversion","","","","test_itemsize_spec",""
"passed","Thu Sep 04 20:12:26 UTC 2025","Thu Sep 04 20:12:26 UTC 2025","1","tests.unit.measurement_set._utils._msv2._tables","test_read","","","","test_is_ephem_subtable_ms",""
"passed","Thu Sep 04 20:12:27 UTC 2025","Thu Sep 04 20:12:27 UTC 2025","0","tests.unit.measurement_set._utils._msv2","test_conversion","","","","test_parse_chunksize[input_chunksize3-main-xds3-expected_chunksize3-expected_error3]",""
"passed","Thu Sep 04 20:12:27 UTC 2025","Thu Sep 04 20:12:27 UTC 2025","0","tests.unit.measurement_set._utils._msv2","test_conversion","","","","test_parse_chunksize[input_chunksize1-pointing-None-expected_chunksize1-expected_error1]",""
"passed","Thu Sep 04 20:12:25 UTC 2025","Thu Sep 04 20:12:25 UTC 2025","1","tests.unit.measurement_set._utils._msv2._tables","test_read","","","","test_table_has_column[ms_minimal_required-WEIGHT-True]",""
"passed","Thu Sep 04 20:12:27 UTC 2025","Thu Sep 04 20:12:27 UTC 2025","0","tests.unit.measurement_set._utils._msv2","test_conversion","","","","test_mem_chunksize_to_dict_pointing[0.1-dim_sizes0-expected_chunksize0]",""
"passed","Thu Sep 04 20:12:25 UTC 2025","Thu Sep 04 20:12:25 UTC 2025","0","tests.unit.measurement_set._utils._msv2._tables","test_read","","","","test_find_projected_min_max_array[in_min_max10-in_array10-expected_result10]",""
"passed","Thu Sep 04 20:12:28 UTC 2025","Thu Sep 04 20:12:28 UTC 2025","4","tests.unit.measurement_set._utils._msv2","test_create_antenna_xds","","","","test_create_antenna_xds_minimal_wrong_antenna_ids",""
"passed","Thu Sep 04 20:12:25 UTC 2025","Thu Sep 04 20:12:25 UTC 2025","1","tests.unit.measurement_set._utils._msv2._tables","test_read","","","","test_find_projected_min_max_table[in_min_max0-expected_result0]",""
"passed","Thu Sep 04 20:12:26 UTC 2025","Thu Sep 04 20:12:26 UTC 2025","1","tests.unit.measurement_set._utils._msv2._tables","test_read","","","","test_redimension_ms_subtable_source",""
"passed","Thu Sep 04 20:12:25 UTC 2025","Thu Sep 04 20:12:25 UTC 2025","1","tests.unit.measurement_set._utils._msv2._tables","test_read","","","","test_find_projected_min_max_array[in_min_max13-in_array13-expected_result13]",""
"passed","Thu Sep 04 20:13:44 UTC 2025","Thu Sep 04 20:13:45 UTC 2025","908","tests.unit.measurement_set","test_processing_set_xdt","TestProcessingSetXdtWithEphemerisData","","","test_field_offset_calculation[ALMA_uid___A002_X1003af4_X75a3.split.avg.ms]","Test that field offsets are correctly calculated"
"passed","Thu Sep 04 20:12:29 UTC 2025","Thu Sep 04 20:12:29 UTC 2025","33","tests.unit.measurement_set","test_convert_msv2_to_processing_set","","","","test_estimate_conversion_memory_and_cores_minimal[ms_minimal_required-partition_scheme0-expected_estimation0]",""
"passed","Thu Sep 04 20:12:26 UTC 2025","Thu Sep 04 20:12:26 UTC 2025","2","tests.unit.measurement_set._utils._msv2._tables","test_read","","","","test_add_ephemeris_vars",""
"passed","Thu Sep 04 20:12:27 UTC 2025","Thu Sep 04 20:12:27 UTC 2025","0","tests.unit.measurement_set._utils._msv2","test_conversion","","","","test_check_chunksize[chunksize5-pointing-expectation5]",""
