WARNING  viperlog:logger.py:109 Because overwrite=True, removing existing path zk.im
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-3eaf9bf1-18a6-11f1-8c6f-6045bd259842
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:37778; closing.
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-3eaf9bf1-18a6-11f1-8c6f-6045bd259842
INFO     distributed.scheduler:scheduler.py:5995 Close client connection: MenrvaClient-3eaf9bf1-18a6-11f1-8c6f-6045bd259842
INFO     distributed.scheduler:scheduler.py:7614 Retire worker addresses (stimulus_id='retire-workers-1772724069.990478') (0, 1)
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:35493'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:44891'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:37764; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:43785 name: 0 (stimulus_id='handle-worker-cleanup-1772724069.9933')
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:37750; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:41005 name: 1 (stimulus_id='handle-worker-cleanup-1772724069.994252')
INFO     distributed.scheduler:scheduler.py:5582 Lost all workers
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:35493' closed.
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:44891' closed.
INFO     distributed.scheduler:scheduler.py:4343 Closing scheduler. Reason: unknown
INFO     distributed.scheduler:scheduler.py:4371 Scheduler closing all comms
