WARNING  viperlog:logger.py:109 Because overwrite=True, removing existing path zk.im
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-7d73ab4c-10bd-11f1-8c7b-000d3a1444d0
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:43478; closing.
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-7d73ab4c-10bd-11f1-8c7b-000d3a1444d0
INFO     distributed.scheduler:scheduler.py:5995 Close client connection: MenrvaClient-7d73ab4c-10bd-11f1-8c7b-000d3a1444d0
INFO     distributed.scheduler:scheduler.py:7614 Retire worker addresses (stimulus_id='retire-workers-1771854428.3795817') (0, 1)
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:35471'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:44031'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:43462; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:44421 name: 0 (stimulus_id='handle-worker-cleanup-1771854428.382308')
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:43476; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:41381 name: 1 (stimulus_id='handle-worker-cleanup-1771854428.3834317')
INFO     distributed.scheduler:scheduler.py:5582 Lost all workers
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:44031' closed.
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:35471' closed.
INFO     distributed.scheduler:scheduler.py:4343 Closing scheduler. Reason: unknown
INFO     distributed.scheduler:scheduler.py:4371 Scheduler closing all comms
