WARNING  viperlog:logger.py:109 Because overwrite=True, removing existing path zk.im
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-01082490-1c51-11f1-8ca2-00224804b48f
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:44200; closing.
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-01082490-1c51-11f1-8ca2-00224804b48f
INFO     distributed.scheduler:scheduler.py:5995 Close client connection: MenrvaClient-01082490-1c51-11f1-8ca2-00224804b48f
INFO     distributed.scheduler:scheduler.py:7614 Retire worker addresses (stimulus_id='retire-workers-1773127253.4022484') (0, 1)
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:40119'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:44721'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:44188; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:38457 name: 0 (stimulus_id='handle-worker-cleanup-1773127253.404908')
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:44184; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:41011 name: 1 (stimulus_id='handle-worker-cleanup-1773127253.40586')
INFO     distributed.scheduler:scheduler.py:5582 Lost all workers
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:40119' closed.
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:44721' closed.
INFO     distributed.scheduler:scheduler.py:4343 Closing scheduler. Reason: unknown
INFO     distributed.scheduler:scheduler.py:4371 Scheduler closing all comms
