WARNING  viperlog:logger.py:109 Because overwrite=True, removing existing path zk.im
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-4ae7d640-f87e-11f0-8c62-6045bd488618
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:38638; closing.
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-4ae7d640-f87e-11f0-8c62-6045bd488618
INFO     distributed.scheduler:scheduler.py:5995 Close client connection: MenrvaClient-4ae7d640-f87e-11f0-8c62-6045bd488618
INFO     distributed.scheduler:scheduler.py:7614 Retire worker addresses (stimulus_id='retire-workers-1769188461.0030718') (0, 1)
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:37601'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:40127'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:38628; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:38045 name: 1 (stimulus_id='handle-worker-cleanup-1769188461.005826')
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:38618; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:38135 name: 0 (stimulus_id='handle-worker-cleanup-1769188461.0068257')
INFO     distributed.scheduler:scheduler.py:5582 Lost all workers
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:37601' closed.
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:40127' closed.
INFO     distributed.scheduler:scheduler.py:4343 Closing scheduler. Reason: unknown
INFO     distributed.scheduler:scheduler.py:4371 Scheduler closing all comms
