WARNING  viperlog:logger.py:109 Because overwrite=True, removing existing path zk.im
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-fa0c377d-012d-11f1-8bee-7ced8d07889e
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:57702; closing.
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-fa0c377d-012d-11f1-8bee-7ced8d07889e
INFO     distributed.scheduler:scheduler.py:5995 Close client connection: MenrvaClient-fa0c377d-012d-11f1-8bee-7ced8d07889e
INFO     distributed.scheduler:scheduler.py:7614 Retire worker addresses (stimulus_id='retire-workers-1770143546.3138192') (0, 1)
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:35447'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:44599'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:57692; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:46123 name: 0 (stimulus_id='handle-worker-cleanup-1770143546.3165214')
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:57678; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:42059 name: 1 (stimulus_id='handle-worker-cleanup-1770143546.3175032')
INFO     distributed.scheduler:scheduler.py:5582 Lost all workers
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:44599' closed.
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:35447' closed.
INFO     distributed.scheduler:scheduler.py:4343 Closing scheduler. Reason: unknown
INFO     distributed.scheduler:scheduler.py:4371 Scheduler closing all comms
