WARNING  viperlog:logger.py:109 Because overwrite=True, removing existing path zk.im
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-59fdd900-f7c2-11f0-8bce-000d3a58d874
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:44346; closing.
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-59fdd900-f7c2-11f0-8bce-000d3a58d874
INFO     distributed.scheduler:scheduler.py:5995 Close client connection: MenrvaClient-59fdd900-f7c2-11f0-8bce-000d3a58d874
INFO     distributed.scheduler:scheduler.py:7614 Retire worker addresses (stimulus_id='retire-workers-1769107737.736819') (0, 1)
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:40499'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:35509'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:44338; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:36211 name: 1 (stimulus_id='handle-worker-cleanup-1769107737.7394223')
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:44322; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:37757 name: 0 (stimulus_id='handle-worker-cleanup-1769107737.7403095')
INFO     distributed.scheduler:scheduler.py:5582 Lost all workers
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:40499' closed.
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:35509' closed.
INFO     distributed.scheduler:scheduler.py:4343 Closing scheduler. Reason: unknown
INFO     distributed.scheduler:scheduler.py:4371 Scheduler closing all comms
