WARNING  viperlog:logger.py:109 Because overwrite=True, removing existing path zk.im
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-04a4a868-0e7a-11f1-8c0f-7c1e52ce58ac
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:36120; closing.
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-04a4a868-0e7a-11f1-8c0f-7c1e52ce58ac
INFO     distributed.scheduler:scheduler.py:5995 Close client connection: MenrvaClient-04a4a868-0e7a-11f1-8c0f-7c1e52ce58ac
INFO     distributed.scheduler:scheduler.py:7614 Retire worker addresses (stimulus_id='retire-workers-1771605557.2697554') (0, 1)
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:38317'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:44813'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:36110; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:38751 name: 0 (stimulus_id='handle-worker-cleanup-1771605557.2724113')
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:36096; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:40919 name: 1 (stimulus_id='handle-worker-cleanup-1771605557.273286')
INFO     distributed.scheduler:scheduler.py:5582 Lost all workers
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:38317' closed.
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:44813' closed.
INFO     distributed.scheduler:scheduler.py:4343 Closing scheduler. Reason: unknown
INFO     distributed.scheduler:scheduler.py:4371 Scheduler closing all comms
