WARNING  client:logger.py:79 Because overwrite=True, removing existing path zk.im
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-12e3baab-1db8-11f1-8c98-6045bd4d8c48
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:38418; closing.
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-12e3baab-1db8-11f1-8c98-6045bd4d8c48
INFO     distributed.scheduler:scheduler.py:5995 Close client connection: MenrvaClient-12e3baab-1db8-11f1-8c98-6045bd4d8c48
INFO     distributed.scheduler:scheduler.py:7614 Retire worker addresses (stimulus_id='retire-workers-1773281493.059286') (0, 1)
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:33709'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:41589'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:38404; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:39197 name: 0 (stimulus_id='handle-worker-cleanup-1773281493.062263')
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:38398; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:37987 name: 1 (stimulus_id='handle-worker-cleanup-1773281493.0712407')
INFO     distributed.scheduler:scheduler.py:5582 Lost all workers
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:33709' closed.
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:41589' closed.
INFO     distributed.scheduler:scheduler.py:4343 Closing scheduler. Reason: unknown
INFO     distributed.scheduler:scheduler.py:4371 Scheduler closing all comms
