WARNING  client:logger.py:79 It is recommended that the local cache directory be set using the [38;2;50;50;205mdask_local_dir[0m parameter.
INFO     distributed.scheduler:scheduler.py:8176 Registering Worker plugin worker_logger
INFO     client:logger.py:79 Client <MenrvaClient: 'tcp://127.0.0.1:35411' processes=2 threads=2, memory=5.59 GiB>
INFO     xradio:logger.py:79 Initializing download...
INFO     xradio:logger.py:79 Updated partition scheme used: ['DATA_DESC_ID', 'OBS_MODE', 'OBSERVATION_ID', 'EPHEMERIS_ID']
INFO     xradio:logger.py:79 Updated partition scheme used: ['DATA_DESC_ID', 'OBS_MODE', 'OBSERVATION_ID', 'EPHEMERIS_ID']
INFO     xradio:logger.py:79 Number of partitions: 4
INFO     xradio:logger.py:79 OBSERVATION_ID [0], DDI [0], STATE [4], FIELD [0], SCAN [2], EPHEMERIS [0]
INFO     xradio:logger.py:79 OBSERVATION_ID [0], DDI [1], STATE [4], FIELD [0], SCAN [2], EPHEMERIS [0]
INFO     xradio:logger.py:79 OBSERVATION_ID [0], DDI [0], STATE [5], FIELD [0], SCAN [2], EPHEMERIS [0]
INFO     xradio:logger.py:79 OBSERVATION_ID [0], DDI [1], STATE [5], FIELD [0], SCAN [2], EPHEMERIS [0]
