WARNING  client:logger.py:79 Because overwrite=True, removing existing path zk.im
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-e5eddc10-1e4f-11f1-8ce4-7ced8d6f7b99
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:46318; closing.
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-e5eddc10-1e4f-11f1-8ce4-7ced8d6f7b99
INFO     distributed.scheduler:scheduler.py:5995 Close client connection: MenrvaClient-e5eddc10-1e4f-11f1-8ce4-7ced8d6f7b99
INFO     distributed.scheduler:scheduler.py:7614 Retire worker addresses (stimulus_id='retire-workers-1773346678.44383') (0, 1)
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:45773'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:36267'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:46304; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:39457 name: 0 (stimulus_id='handle-worker-cleanup-1773346678.4463577')
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:46296; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:34421 name: 1 (stimulus_id='handle-worker-cleanup-1773346678.4474285')
INFO     distributed.scheduler:scheduler.py:5582 Lost all workers
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:36267' closed.
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:45773' closed.
INFO     distributed.scheduler:scheduler.py:4343 Closing scheduler. Reason: unknown
INFO     distributed.scheduler:scheduler.py:4371 Scheduler closing all comms
