WARNING  viperlog:logger.py:109 Because overwrite=True, removing existing path zk.im
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-2c313a4a-f79b-11f0-8bf1-7ced8d2aca76
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:56382; closing.
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-2c313a4a-f79b-11f0-8bf1-7ced8d2aca76
INFO     distributed.scheduler:scheduler.py:5995 Close client connection: MenrvaClient-2c313a4a-f79b-11f0-8bf1-7ced8d2aca76
INFO     distributed.scheduler:scheduler.py:7614 Retire worker addresses (stimulus_id='retire-workers-1769090908.046057') (0, 1)
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:35439'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:32865'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:56364; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:44603 name: 0 (stimulus_id='handle-worker-cleanup-1769090908.048675')
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:56368; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:40753 name: 1 (stimulus_id='handle-worker-cleanup-1769090908.0594234')
INFO     distributed.scheduler:scheduler.py:5582 Lost all workers
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:35439' closed.
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:32865' closed.
INFO     distributed.scheduler:scheduler.py:4343 Closing scheduler. Reason: unknown
INFO     distributed.scheduler:scheduler.py:4371 Scheduler closing all comms
