WARNING  viperlog:logger.py:109 Because overwrite=True, removing existing path zk.im
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-768d391e-0e7d-11f1-8c39-7c1e52c82a90
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:57488; closing.
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-768d391e-0e7d-11f1-8c39-7c1e52c82a90
INFO     distributed.scheduler:scheduler.py:5995 Close client connection: MenrvaClient-768d391e-0e7d-11f1-8c39-7c1e52c82a90
INFO     distributed.scheduler:scheduler.py:7614 Retire worker addresses (stimulus_id='retire-workers-1771607112.4535558') (0, 1)
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:36955'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:35099'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:57478; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:38655 name: 0 (stimulus_id='handle-worker-cleanup-1771607112.4561822')
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:57464; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:45233 name: 1 (stimulus_id='handle-worker-cleanup-1771607112.457428')
INFO     distributed.scheduler:scheduler.py:5582 Lost all workers
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:36955' closed.
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:35099' closed.
INFO     distributed.scheduler:scheduler.py:4343 Closing scheduler. Reason: unknown
INFO     distributed.scheduler:scheduler.py:4371 Scheduler closing all comms
