WARNING  client:logger.py:79 It is recommended that the local cache directory be set using the [38;2;50;50;205mdask_local_dir[0m parameter.
INFO     distributed.scheduler:scheduler.py:8181 Registering Worker plugin worker_logger
INFO     client:logger.py:79 Client <MenrvaClient: 'tcp://127.0.0.1:33713' processes=2 threads=2, memory=5.59 GiB>
INFO     xradio:logger.py:79 Initializing download...
INFO     xradio:logger.py:79 Updated partition scheme used: ['DATA_DESC_ID', 'OBS_MODE', 'OBSERVATION_ID', 'EPHEMERIS_ID']
INFO     xradio:logger.py:79 Updated partition scheme used: ['DATA_DESC_ID', 'OBS_MODE', 'OBSERVATION_ID', 'EPHEMERIS_ID']
INFO     xradio:logger.py:79 Number of partitions: 4
INFO     xradio:logger.py:79 OBSERVATION_ID [0], DDI [0], STATE [1], FIELD [0], SCAN [15, 16, 17, 18, 19, 20, 41, 42, 43], EPHEMERIS [-1]
INFO     xradio:logger.py:79 OBSERVATION_ID [0], DDI [1], STATE [1], FIELD [0], SCAN [15, 16, 17, 18, 19, 20, 41, 42, 43], EPHEMERIS [-1]
INFO     xradio:logger.py:79 OBSERVATION_ID [0], DDI [0], STATE [2], FIELD [1], SCAN [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 44, 45, 46, 47, 48, 49, 50], EPHEMERIS [-1]
INFO     xradio:logger.py:79 OBSERVATION_ID [0], DDI [1], STATE [2], FIELD [1], SCAN [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 44, 45, 46, 47, 48, 49, 50], EPHEMERIS [-1]
INFO     xradio:logger.py:79 Initializing download...
INFO     xradio:logger.py:79 File already exists: /tmp/test/SNR_G55_10s.split.ms
INFO     xradio:logger.py:79 Updated partition scheme used: ['DATA_DESC_ID', 'OBS_MODE', 'OBSERVATION_ID', 'EPHEMERIS_ID', 'FIELD_ID']
INFO     xradio:logger.py:79 Updated partition scheme used: ['DATA_DESC_ID', 'OBS_MODE', 'OBSERVATION_ID', 'EPHEMERIS_ID', 'FIELD_ID']
INFO     xradio:logger.py:79 Number of partitions: 4
INFO     xradio:logger.py:79 OBSERVATION_ID [0], DDI [0], STATE [1], FIELD [0], SCAN [15, 16, 17, 18, 19, 20, 41, 42, 43], EPHEMERIS [-1]
INFO     xradio:logger.py:79 OBSERVATION_ID [0], DDI [1], STATE [1], FIELD [0], SCAN [15, 16, 17, 18, 19, 20, 41, 42, 43], EPHEMERIS [-1]
INFO     xradio:logger.py:79 OBSERVATION_ID [0], DDI [0], STATE [2], FIELD [1], SCAN [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 44, 45, 46, 47, 48, 49, 50], EPHEMERIS [-1]
INFO     xradio:logger.py:79 OBSERVATION_ID [0], DDI [1], STATE [2], FIELD [1], SCAN [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 44, 45, 46, 47, 48, 49, 50], EPHEMERIS [-1]
