WARNING  viperlog:logger.py:109 Because overwrite=True, removing existing path zk.im
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-468a04c6-0342-11f1-8c08-6045bd0724d1
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:35788; closing.
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-468a04c6-0342-11f1-8c08-6045bd0724d1
INFO     distributed.scheduler:scheduler.py:5995 Close client connection: MenrvaClient-468a04c6-0342-11f1-8c08-6045bd0724d1
INFO     distributed.scheduler:scheduler.py:7614 Retire worker addresses (stimulus_id='retire-workers-1770372155.5076735') (0, 1)
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:40121'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:37037'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:35774; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:35175 name: 0 (stimulus_id='handle-worker-cleanup-1770372155.5106096')
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:35784; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:38865 name: 1 (stimulus_id='handle-worker-cleanup-1770372155.5115523')
INFO     distributed.scheduler:scheduler.py:5582 Lost all workers
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:37037' closed.
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:40121' closed.
INFO     distributed.scheduler:scheduler.py:4343 Closing scheduler. Reason: unknown
INFO     distributed.scheduler:scheduler.py:4371 Scheduler closing all comms
