WARNING  viperlog:logger.py:109 Because overwrite=True, removing existing path zk.im
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-cde7120d-13fe-11f1-8c76-6045bd009622
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:48312; closing.
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-cde7120d-13fe-11f1-8c76-6045bd009622
INFO     distributed.scheduler:scheduler.py:5995 Close client connection: MenrvaClient-cde7120d-13fe-11f1-8c76-6045bd009622
INFO     distributed.scheduler:scheduler.py:7614 Retire worker addresses (stimulus_id='retire-workers-1772212353.1020727') (0, 1)
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:33633'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:34507'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:48292; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:40671 name: 0 (stimulus_id='handle-worker-cleanup-1772212353.1048422')
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:48306; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:44159 name: 1 (stimulus_id='handle-worker-cleanup-1772212353.1059015')
INFO     distributed.scheduler:scheduler.py:5582 Lost all workers
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:33633' closed.
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:34507' closed.
INFO     distributed.scheduler:scheduler.py:4343 Closing scheduler. Reason: unknown
INFO     distributed.scheduler:scheduler.py:4371 Scheduler closing all comms
