WARNING  client:logger.py:79 Because overwrite=True, removing existing path zk.im
INFO     distributed.scheduler:scheduler.py:5998 Remove client MenrvaClient-049566bc-2390-11f1-8c85-7c1e5294240a
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:50286; closing.
INFO     distributed.scheduler:scheduler.py:5998 Remove client MenrvaClient-049566bc-2390-11f1-8c85-7c1e5294240a
INFO     distributed.scheduler:scheduler.py:5990 Close client connection: MenrvaClient-049566bc-2390-11f1-8c85-7c1e5294240a
INFO     distributed.scheduler:scheduler.py:7609 Retire worker addresses (stimulus_id='retire-workers-1773923979.9394724') (0, 1)
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:43345'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:40347'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:50270; closing.
INFO     distributed.scheduler:scheduler.py:5439 Remove worker addr: tcp://127.0.0.1:43701 name: 0 (stimulus_id='handle-worker-cleanup-1773923979.9421034')
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:50266; closing.
INFO     distributed.scheduler:scheduler.py:5439 Remove worker addr: tcp://127.0.0.1:44549 name: 1 (stimulus_id='handle-worker-cleanup-1773923979.9434104')
INFO     distributed.scheduler:scheduler.py:5577 Lost all workers
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:40347' closed.
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:43345' closed.
INFO     distributed.scheduler:scheduler.py:4338 Closing scheduler. Reason: unknown
INFO     distributed.scheduler:scheduler.py:4366 Scheduler closing all comms
