WARNING  client:logger.py:79 It is recommended that the local cache directory be set using the [38;2;50;50;205mdask_local_dir[0m parameter.
INFO     distributed.scheduler:scheduler.py:8176 Registering Worker plugin worker_logger
INFO     client:logger.py:79 Client <MenrvaClient: 'tcp://127.0.0.1:40901' processes=2 threads=2, memory=5.59 GiB>
INFO     xradio:logger.py:79 Initializing download...
INFO     xradio:logger.py:79 Updated partition scheme used: ['DATA_DESC_ID', 'OBS_MODE', 'OBSERVATION_ID', 'EPHEMERIS_ID']
INFO     xradio:logger.py:79 Updated partition scheme used: ['DATA_DESC_ID', 'OBS_MODE', 'OBSERVATION_ID', 'EPHEMERIS_ID']
INFO     xradio:logger.py:79 Number of partitions: 18
INFO     xradio:logger.py:79 OBSERVATION_ID [0], DDI [0], STATE [0], FIELD [0], SCAN [7], EPHEMERIS [0]
INFO     xradio:logger.py:79 OBSERVATION_ID [0], DDI [1], STATE [0], FIELD [0], SCAN [7], EPHEMERIS [0]
INFO     xradio:logger.py:79 OBSERVATION_ID [0], DDI [2], STATE [0], FIELD [0], SCAN [7], EPHEMERIS [0]
INFO     xradio:logger.py:79 OBSERVATION_ID [0], DDI [0], STATE [16], FIELD [0], SCAN [7], EPHEMERIS [0]
INFO     xradio:logger.py:79 OBSERVATION_ID [0], DDI [1], STATE [16], FIELD [0], SCAN [7], EPHEMERIS [0]
INFO     xradio:logger.py:79 OBSERVATION_ID [0], DDI [2], STATE [16], FIELD [0], SCAN [7], EPHEMERIS [0]
INFO     xradio:logger.py:79 OBSERVATION_ID [0], DDI [0], STATE [17], FIELD [0], SCAN [7], EPHEMERIS [0]
INFO     xradio:logger.py:79 OBSERVATION_ID [0], DDI [1], STATE [17], FIELD [0], SCAN [7], EPHEMERIS [0]
INFO     xradio:logger.py:79 OBSERVATION_ID [0], DDI [2], STATE [17], FIELD [0], SCAN [7], EPHEMERIS [0]
INFO     xradio:logger.py:79 OBSERVATION_ID [0], DDI [0], STATE [19], FIELD [2], SCAN [6], EPHEMERIS [-1]
INFO     xradio:logger.py:79 OBSERVATION_ID [0], DDI [1], STATE [19], FIELD [2], SCAN [6], EPHEMERIS [-1]
INFO     xradio:logger.py:79 OBSERVATION_ID [0], DDI [2], STATE [19], FIELD [2], SCAN [6], EPHEMERIS [-1]
INFO     xradio:logger.py:79 OBSERVATION_ID [0], DDI [0], STATE [20, 99], FIELD [0], SCAN [8], EPHEMERIS [0]
INFO     xradio:logger.py:79 OBSERVATION_ID [0], DDI [1], STATE [20, 99], FIELD [0], SCAN [8], EPHEMERIS [0]
INFO     xradio:logger.py:79 OBSERVATION_ID [0], DDI [2], STATE [20, 99], FIELD [0], SCAN [8], EPHEMERIS [0]
INFO     xradio:logger.py:79 OBSERVATION_ID [0], DDI [0], STATE [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98], FIELD [3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29], SCAN [8], EPHEMERIS [0]
INFO     xradio:logger.py:79 OBSERVATION_ID [0], DDI [1], STATE [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98], FIELD [3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29], SCAN [8], EPHEMERIS [0]
INFO     xradio:logger.py:79 OBSERVATION_ID [0], DDI [2], STATE [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98], FIELD [3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29], SCAN [8], EPHEMERIS [0]
