WARNING  viperlog:logger.py:109 Because overwrite=True, removing existing path zk.im
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-9a4dfd26-10bd-11f1-8c53-7c1e52ede90b
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:44016; closing.
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-9a4dfd26-10bd-11f1-8c53-7c1e52ede90b
INFO     distributed.scheduler:scheduler.py:5995 Close client connection: MenrvaClient-9a4dfd26-10bd-11f1-8c53-7c1e52ede90b
INFO     distributed.scheduler:scheduler.py:7614 Retire worker addresses (stimulus_id='retire-workers-1771854474.9779422') (0, 1)
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:45245'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:40263'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:44006; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:37733 name: 0 (stimulus_id='handle-worker-cleanup-1771854474.9802618')
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:44004; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:44295 name: 1 (stimulus_id='handle-worker-cleanup-1771854474.981439')
INFO     distributed.scheduler:scheduler.py:5582 Lost all workers
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:40263' closed.
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:45245' closed.
INFO     distributed.scheduler:scheduler.py:4343 Closing scheduler. Reason: unknown
INFO     distributed.scheduler:scheduler.py:4371 Scheduler closing all comms
