WARNING  client:logger.py:79 Because overwrite=True, removing existing path zk.im
INFO     distributed.scheduler:scheduler.py:5998 Remove client MenrvaClient-b2a55b6a-23bb-11f1-8d06-7ced8d6ee30c
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:43916; closing.
INFO     distributed.scheduler:scheduler.py:5998 Remove client MenrvaClient-b2a55b6a-23bb-11f1-8d06-7ced8d6ee30c
INFO     distributed.scheduler:scheduler.py:5990 Close client connection: MenrvaClient-b2a55b6a-23bb-11f1-8d06-7ced8d6ee30c
INFO     distributed.scheduler:scheduler.py:7609 Retire worker addresses (stimulus_id='retire-workers-1773942744.2408445') (0, 1)
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:39785'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:34029'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:43900; closing.
INFO     distributed.scheduler:scheduler.py:5439 Remove worker addr: tcp://127.0.0.1:40209 name: 0 (stimulus_id='handle-worker-cleanup-1773942744.2436094')
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:43886; closing.
INFO     distributed.scheduler:scheduler.py:5439 Remove worker addr: tcp://127.0.0.1:40457 name: 1 (stimulus_id='handle-worker-cleanup-1773942744.2446')
INFO     distributed.scheduler:scheduler.py:5577 Lost all workers
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:39785' closed.
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:34029' closed.
INFO     distributed.scheduler:scheduler.py:4338 Closing scheduler. Reason: unknown
INFO     distributed.scheduler:scheduler.py:4366 Scheduler closing all comms
