WARNING  client:logger.py:79 It is recommended that the local cache directory be set using the [38;2;50;50;205mdask_local_dir[0m parameter.
INFO     distributed.scheduler:scheduler.py:8176 Registering Worker plugin worker_logger
INFO     client:logger.py:79 Client <MenrvaClient: 'tcp://127.0.0.1:36065' processes=2 threads=2, memory=5.59 GiB>
INFO     xradio:logger.py:79 Initializing download...
INFO     xradio:logger.py:79 Updated partition scheme used: ['DATA_DESC_ID', 'OBS_MODE', 'OBSERVATION_ID']
INFO     xradio:logger.py:79 Updated partition scheme used: ['DATA_DESC_ID', 'OBS_MODE', 'OBSERVATION_ID']
INFO     xradio:logger.py:79 Number of partitions: 1
INFO     xradio:logger.py:79 OBSERVATION_ID [0], DDI [0], STATE [0], FIELD [0], SCAN [0], EPHEMERIS [None]
INFO     xradio:logger.py:79 Initializing download...
INFO     xradio:logger.py:79 File already exists: /tmp/test/small_lofar.ms
INFO     xradio:logger.py:79 Updated partition scheme used: ['DATA_DESC_ID', 'OBS_MODE', 'OBSERVATION_ID', 'FIELD_ID']
INFO     xradio:logger.py:79 Updated partition scheme used: ['DATA_DESC_ID', 'OBS_MODE', 'OBSERVATION_ID', 'FIELD_ID']
INFO     xradio:logger.py:79 Number of partitions: 1
INFO     xradio:logger.py:79 OBSERVATION_ID [0], DDI [0], STATE [0], FIELD [0], SCAN [0], EPHEMERIS [None]
