WARNING  client:logger.py:79 Because overwrite=True, removing existing path zk.im
INFO     distributed.scheduler:scheduler.py:5998 Remove client MenrvaClient-a80622d8-22d9-11f1-8ca4-7c1e52e891fa
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:55748; closing.
INFO     distributed.scheduler:scheduler.py:5998 Remove client MenrvaClient-a80622d8-22d9-11f1-8ca4-7c1e52e891fa
INFO     distributed.scheduler:scheduler.py:5990 Close client connection: MenrvaClient-a80622d8-22d9-11f1-8ca4-7c1e52e891fa
INFO     distributed.scheduler:scheduler.py:7609 Retire worker addresses (stimulus_id='retire-workers-1773845662.0303552') (0, 1)
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:33705'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:33173'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:55736; closing.
INFO     distributed.scheduler:scheduler.py:5439 Remove worker addr: tcp://127.0.0.1:46241 name: 0 (stimulus_id='handle-worker-cleanup-1773845662.0330596')
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:55738; closing.
INFO     distributed.scheduler:scheduler.py:5439 Remove worker addr: tcp://127.0.0.1:46367 name: 1 (stimulus_id='handle-worker-cleanup-1773845662.0339797')
INFO     distributed.scheduler:scheduler.py:5577 Lost all workers
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:33173' closed.
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:33705' closed.
INFO     distributed.scheduler:scheduler.py:4338 Closing scheduler. Reason: unknown
INFO     distributed.scheduler:scheduler.py:4366 Scheduler closing all comms
