WARNING  viperlog:logger.py:109 Because overwrite=True, removing existing path zk.im
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-56cd459d-05e6-11f1-8c1b-7ced8d28bebb
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:58722; closing.
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-56cd459d-05e6-11f1-8c1b-7ced8d28bebb
INFO     distributed.scheduler:scheduler.py:5995 Close client connection: MenrvaClient-56cd459d-05e6-11f1-8c1b-7ced8d28bebb
INFO     distributed.scheduler:scheduler.py:7614 Retire worker addresses (stimulus_id='retire-workers-1770662518.2628338') (0, 1)
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:33711'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:44081'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:58718; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:41537 name: 1 (stimulus_id='handle-worker-cleanup-1770662518.2653751')
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:58704; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:45419 name: 0 (stimulus_id='handle-worker-cleanup-1770662518.266336')
INFO     distributed.scheduler:scheduler.py:5582 Lost all workers
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:44081' closed.
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:33711' closed.
INFO     distributed.scheduler:scheduler.py:4343 Closing scheduler. Reason: unknown
INFO     distributed.scheduler:scheduler.py:4371 Scheduler closing all comms
