WARNING  viperlog:logger.py:109 Because overwrite=True, removing existing path zk.im
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-89097347-18be-11f1-8cd5-7c1e5286a98a
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:34894; closing.
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-89097347-18be-11f1-8cd5-7c1e5286a98a
INFO     distributed.scheduler:scheduler.py:5995 Close client connection: MenrvaClient-89097347-18be-11f1-8cd5-7c1e5286a98a
INFO     distributed.scheduler:scheduler.py:7614 Retire worker addresses (stimulus_id='retire-workers-1772734493.9044828') (0, 1)
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:46527'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:42297'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:34882; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:35379 name: 1 (stimulus_id='handle-worker-cleanup-1772734493.9071724')
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:34866; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:35863 name: 0 (stimulus_id='handle-worker-cleanup-1772734493.9081216')
INFO     distributed.scheduler:scheduler.py:5582 Lost all workers
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:46527' closed.
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:42297' closed.
INFO     distributed.scheduler:scheduler.py:4343 Closing scheduler. Reason: unknown
INFO     distributed.scheduler:scheduler.py:4371 Scheduler closing all comms
