WARNING  viperlog:logger.py:109 Because overwrite=True, removing existing path zk.im
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-34b89b78-18a6-11f1-8c5a-7ced8dc7466c
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:37572; closing.
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-34b89b78-18a6-11f1-8c5a-7ced8dc7466c
INFO     distributed.scheduler:scheduler.py:5995 Close client connection: MenrvaClient-34b89b78-18a6-11f1-8c5a-7ced8dc7466c
INFO     distributed.scheduler:scheduler.py:7614 Retire worker addresses (stimulus_id='retire-workers-1772724051.0371404') (0, 1)
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:45403'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:38241'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:37556; closing.
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:37558; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:41521 name: 1 (stimulus_id='handle-worker-cleanup-1772724051.0401895')
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:44161 name: 0 (stimulus_id='handle-worker-cleanup-1772724051.0404708')
INFO     distributed.scheduler:scheduler.py:5582 Lost all workers
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:38241' closed.
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:45403' closed.
INFO     distributed.scheduler:scheduler.py:4343 Closing scheduler. Reason: unknown
INFO     distributed.scheduler:scheduler.py:4371 Scheduler closing all comms
