WARNING  viperlog:logger.py:109 Because overwrite=True, removing existing path zk.im
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-4eac225c-f7a9-11f0-8be8-0022481d4c59
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:54758; closing.
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-4eac225c-f7a9-11f0-8be8-0022481d4c59
INFO     distributed.scheduler:scheduler.py:5995 Close client connection: MenrvaClient-4eac225c-f7a9-11f0-8be8-0022481d4c59
INFO     distributed.scheduler:scheduler.py:7614 Retire worker addresses (stimulus_id='retire-workers-1769096993.863032') (0, 1)
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:43557'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:34837'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:54734; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:34405 name: 0 (stimulus_id='handle-worker-cleanup-1769096993.8655229')
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:54744; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:43811 name: 1 (stimulus_id='handle-worker-cleanup-1769096993.866737')
INFO     distributed.scheduler:scheduler.py:5582 Lost all workers
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:34837' closed.
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:43557' closed.
INFO     distributed.scheduler:scheduler.py:4343 Closing scheduler. Reason: unknown
INFO     distributed.scheduler:scheduler.py:4371 Scheduler closing all comms
