WARNING  client:logger.py:79 It is recommended that the local cache directory be set using the [38;2;50;50;205mdask_local_dir[0m parameter.
INFO     distributed.scheduler:scheduler.py:8176 Registering Worker plugin worker_logger
INFO     client:logger.py:79 Client <MenrvaClient: 'tcp://127.0.0.1:46105' processes=2 threads=2, memory=5.59 GiB>
INFO     xradio:logger.py:79 Initializing download...
INFO     xradio:logger.py:79 Updated partition scheme used: ['DATA_DESC_ID', 'OBSERVATION_ID']
INFO     xradio:logger.py:79 Updated partition scheme used: ['DATA_DESC_ID', 'OBSERVATION_ID']
INFO     xradio:logger.py:79 Number of partitions: 1
INFO     xradio:logger.py:79 OBSERVATION_ID [0], DDI [0], STATE [None], FIELD [0, 1], SCAN [0, 1, 2, 3], EPHEMERIS [None]
INFO     xradio:logger.py:79 Initializing download...
INFO     xradio:logger.py:79 File already exists: /tmp/test/59755_eq_interleave_0.ms
INFO     xradio:logger.py:79 Updated partition scheme used: ['DATA_DESC_ID', 'OBSERVATION_ID', 'FIELD_ID']
INFO     xradio:logger.py:79 Updated partition scheme used: ['DATA_DESC_ID', 'OBSERVATION_ID', 'FIELD_ID']
INFO     xradio:logger.py:79 Number of partitions: 2
INFO     xradio:logger.py:79 OBSERVATION_ID [0], DDI [0], STATE [None], FIELD [0], SCAN [0, 2], EPHEMERIS [None]
INFO     xradio:logger.py:79 OBSERVATION_ID [0], DDI [0], STATE [None], FIELD [1], SCAN [1, 3], EPHEMERIS [None]
