WARNING  client:logger.py:79 Because overwrite=True, removing existing path zk.im
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-98ad54a8-1dc3-11f1-8c81-002248450e30
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:57864; closing.
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-98ad54a8-1dc3-11f1-8c81-002248450e30
INFO     distributed.scheduler:scheduler.py:5995 Close client connection: MenrvaClient-98ad54a8-1dc3-11f1-8c81-002248450e30
INFO     distributed.scheduler:scheduler.py:7614 Retire worker addresses (stimulus_id='retire-workers-1773286424.747415') (0, 1)
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:42455'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:34595'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:57852; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:34047 name: 0 (stimulus_id='handle-worker-cleanup-1773286424.7501237')
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:57862; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:43517 name: 1 (stimulus_id='handle-worker-cleanup-1773286424.751046')
INFO     distributed.scheduler:scheduler.py:5582 Lost all workers
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:34595' closed.
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:42455' closed.
INFO     distributed.scheduler:scheduler.py:4343 Closing scheduler. Reason: unknown
INFO     distributed.scheduler:scheduler.py:4371 Scheduler closing all comms
