WARNING  viperlog:logger.py:109 Because overwrite=True, removing existing path zk.im
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-139349d5-0124-11f1-8cc4-000d3ae4be1a
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:54732; closing.
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-139349d5-0124-11f1-8cc4-000d3ae4be1a
INFO     distributed.scheduler:scheduler.py:5995 Close client connection: MenrvaClient-139349d5-0124-11f1-8cc4-000d3ae4be1a
INFO     distributed.scheduler:scheduler.py:7614 Retire worker addresses (stimulus_id='retire-workers-1770139282.8364205') (0, 1)
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:35777'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:46351'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:54712; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:39407 name: 1 (stimulus_id='handle-worker-cleanup-1770139282.8393815')
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:54724; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:44981 name: 0 (stimulus_id='handle-worker-cleanup-1770139282.8400466')
INFO     distributed.scheduler:scheduler.py:5582 Lost all workers
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:35777' closed.
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:46351' closed.
INFO     distributed.scheduler:scheduler.py:4343 Closing scheduler. Reason: unknown
INFO     distributed.scheduler:scheduler.py:4371 Scheduler closing all comms
