WARNING  client:logger.py:79 Because overwrite=True, removing existing path zk.im
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-9d416052-1d46-11f1-8c81-7ced8d3d950b
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:37778; closing.
INFO     distributed.scheduler:scheduler.py:6003 Remove client MenrvaClient-9d416052-1d46-11f1-8c81-7ced8d3d950b
INFO     distributed.scheduler:scheduler.py:5995 Close client connection: MenrvaClient-9d416052-1d46-11f1-8c81-7ced8d3d950b
INFO     distributed.scheduler:scheduler.py:7614 Retire worker addresses (stimulus_id='retire-workers-1773232745.2764397') (0, 1)
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:35331'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.nanny:nanny.py:611 Closing Nanny at 'tcp://127.0.0.1:42105'. Reason: nanny-close
INFO     distributed.nanny:nanny.py:858 Nanny asking worker to close. Reason: nanny-close
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:37770; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:33979 name: 0 (stimulus_id='handle-worker-cleanup-1773232745.278943')
INFO     distributed.core:core.py:908 Received 'close-stream' from tcp://127.0.0.1:37760; closing.
INFO     distributed.scheduler:scheduler.py:5444 Remove worker addr: tcp://127.0.0.1:40197 name: 1 (stimulus_id='handle-worker-cleanup-1773232745.2803974')
INFO     distributed.scheduler:scheduler.py:5582 Lost all workers
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:42105' closed.
INFO     distributed.nanny:nanny.py:626 Nanny at 'tcp://127.0.0.1:35331' closed.
INFO     distributed.scheduler:scheduler.py:4343 Closing scheduler. Reason: unknown
INFO     distributed.scheduler:scheduler.py:4371 Scheduler closing all comms
