"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 08 16:58:27 UTC 2025","Fri Aug 08 16:58:27 UTC 2025","26","tests.unit.measurement_set._utils._msv2","test_create_antenna_xds","","","","test_create_antenna_xds_minimal_other_telescope",""
"passed","Fri Aug 08 16:59:29 UTC 2025","Fri Aug 08 16:59:29 UTC 2025","1","tests.unit.schema","test_schema","","","","test_check_dataset_optional_coordinate",""
"passed","Fri Aug 08 16:58:37 UTC 2025","Fri Aug 08 16:58:37 UTC 2025","161","tests.unit.measurement_set","test_load_processing_set","TestProcessingSetIterator","","","test_iterator_with_store[Antennae_North.cal.lsrk.split.ms]","Test iterator loading from store"
"passed","Fri Aug 08 16:58:25 UTC 2025","Fri Aug 08 16:58:25 UTC 2025","59","tests.unit.measurement_set._utils._msv2._tables","test_read_main_table","","","","test_get_baselines[ms_minimal_without_opt-expected_output2]",""
"passed","Fri Aug 08 16:58:27 UTC 2025","Fri Aug 08 16:58:27 UTC 2025","0","tests.unit.measurement_set._utils._msv2","test_msv4_sub_xdss","","","","test_create_weather_xds_empty_ant_ids",""
"passed","Fri Aug 08 16:58:24 UTC 2025","Fri Aug 08 16:58:24 UTC 2025","1","tests.unit.measurement_set._utils._msv2._tables","test_read","","","","test_make_taql_where_between_min_max_empty",""
"passed","Fri Aug 08 16:58:26 UTC 2025","Fri Aug 08 16:58:26 UTC 2025","0","tests.unit.measurement_set._utils._msv2","test_conversion","","","","test_check_chunksize[chunksize5-pointing-expectation5]",""
"passed","Fri Aug 08 16:58:16 UTC 2025","Fri Aug 08 16:58:16 UTC 2025","7","tests.unit.image","test_image","casa_image_to_xds_test","","","test_xds_ra_dec_axis","Test xds has correct RA and Dec values and attributes"
"passed","Fri Aug 08 16:59:29 UTC 2025","Fri Aug 08 16:59:29 UTC 2025","1","tests.unit.schema","test_schema","","","","test_check_array_constructor_list",""
"passed","Fri Aug 08 16:58:24 UTC 2025","Fri Aug 08 16:58:24 UTC 2025","2","tests.unit.measurement_set._utils._msv2._tables","test_read","","","","test_is_nested_ms_ant",""
"passed","Fri Aug 08 16:58:23 UTC 2025","Fri Aug 08 16:58:23 UTC 2025","165","tests.unit.image","test_image","write_image_test","","","test_overwrite",""
"passed","Fri Aug 08 16:58:24 UTC 2025","Fri Aug 08 16:58:24 UTC 2025","0","tests.unit.measurement_set._utils._msv2._tables","test_read","","","","test_convert_casacore_time[times3-True-expected_result3]",""
"passed","Fri Aug 08 16:58:27 UTC 2025","Fri Aug 08 16:58:27 UTC 2025","3","tests.unit.measurement_set._utils._msv2","test_msv4_sub_xdss","","","","test_create_pointing_xds_empty_time_interp",""
"passed","Fri Aug 08 16:58:26 UTC 2025","Fri Aug 08 16:58:26 UTC 2025","0","tests.unit.measurement_set._utils._msv2","test_conversion","","","","test_parse_chunksize[input_chunksize2-main-xds2-expected_chunksize2-expected_error2]",""
"passed","Fri Aug 08 16:58:24 UTC 2025","Fri Aug 08 16:58:24 UTC 2025","1","tests.unit.measurement_set._utils._msv2._tables","test_read","","","","test_get_pad_value_baseline_id",""
"passed","Fri Aug 08 16:58:26 UTC 2025","Fri Aug 08 16:58:26 UTC 2025","0","tests.unit.measurement_set._utils._msv2","test_conversion","","","","test_parse_chunksize[0.02-main-xds4-expected_chunksize4-expected_error4]",""
"passed","Fri Aug 08 16:58:22 UTC 2025","Fri Aug 08 16:58:22 UTC 2025","1","tests.unit.image","test_image","fits_to_xds_test","","","test_xds_frequency_axis","Test xds has correct frequency values and metadata"
"passed","Fri Aug 08 16:58:21 UTC 2025","Fri Aug 08 16:58:21 UTC 2025","0","tests.unit.image","test_image","xds_to_zarr_to_xds_test","","","test_xds_frequency_axis","Test xds has correct frequencyuency values and metadata"
"passed","Fri Aug 08 16:59:29 UTC 2025","Fri Aug 08 16:59:29 UTC 2025","0","tests.unit.schema","test_schema","","","","test_xarray_dataclass_to_array_schema","Ensure that extracting the model from the dataclass is consistent"
"passed","Fri Aug 08 16:58:40 UTC 2025","Fri Aug 08 16:58:40 UTC 2025","1","tests.unit.measurement_set","test_measurement_set_xdt","","","","test_get_field_and_source_xds_invalid",""
"passed","Fri Aug 08 16:58:21 UTC 2025","Fri Aug 08 16:58:21 UTC 2025","0","tests.unit.image","test_image","xds_to_zarr_to_xds_test","","","test_xds_vel_axis","Test xds has correct velocity values and metadata"
"passed","Fri Aug 08 16:58:23 UTC 2025","Fri Aug 08 16:58:23 UTC 2025","1","tests.unit.image","test_image","make_empty_lmuv_image_tests","","","test_attrs",""
"passed","Fri Aug 08 16:57:38 UTC 2025","Fri Aug 08 16:57:44 UTC 2025","6313","tests.stakeholder","test_measure_set_stakeholder","","","","test_VLA",""
"passed","Fri Aug 08 16:58:10 UTC 2025","Fri Aug 08 16:58:14 UTC 2025","4025","tests.stakeholder","test_measure_set_stakeholder","","","","test_gmrt",""
"passed","Fri Aug 08 16:58:28 UTC 2025","Fri Aug 08 16:58:28 UTC 2025","0","tests.unit.measurement_set._utils._utils","test_stokes_types","","","","test_stokes_types",""
"passed","Fri Aug 08 16:59:29 UTC 2025","Fri Aug 08 16:59:29 UTC 2025","1","tests.unit.schema","test_schema","","","","test_check_dataset_dtype_mismatch",""
"passed","Fri Aug 08 16:58:24 UTC 2025","Fri Aug 08 16:58:24 UTC 2025","2","tests.unit.measurement_set._utils._msv2._tables","test_read","","","","test_is_nested_ms_ms_min",""
"passed","Fri Aug 08 16:58:23 UTC 2025","Fri Aug 08 16:58:23 UTC 2025","1","tests.unit.image","test_image","make_empty_aperture_image_tests","","","test_u_v_coord",""
"passed","Fri Aug 08 16:53:22 UTC 2025","Fri Aug 08 16:54:41 UTC 2025","78751","tests.stakeholder","test_measure_set_stakeholder","","","","test_sd_A002_Xced5df_Xf9d9",""
"passed","Fri Aug 08 16:58:26 UTC 2025","Fri Aug 08 16:58:26 UTC 2025","0","tests.unit.measurement_set._utils._msv2._tables","test_read_main_table","","","","test_get_baseline_indices[unique_baselines2-baselines2-expected_output2]",""
"passed","Fri Aug 08 16:59:29 UTC 2025","Fri Aug 08 16:59:29 UTC 2025","0","tests.unit.schema","test_schema","","","","test_check_dict_missing",""
"passed","Fri Aug 08 16:58:23 UTC 2025","Fri Aug 08 16:58:23 UTC 2025","1","tests.unit.image","test_image","make_empty_lmuv_image_tests","","","test_declination_coord",""
"passed","Fri Aug 08 16:58:25 UTC 2025","Fri Aug 08 16:58:25 UTC 2025","1","tests.unit.measurement_set._utils._msv2._tables","test_read_main_table","","","","test_get_utimes_tol[where DATA_DESC_ID = 0 AND SCAN_NUMBER = 1 AND STATE_ID = 1-expected_output6]",""
"passed","Fri Aug 08 16:58:40 UTC 2025","Fri Aug 08 16:58:40 UTC 2025","7","tests.unit.measurement_set","test_measurement_set_xdt","","","","test_sel_with_data_group",""
"passed","Fri Aug 08 16:58:23 UTC 2025","Fri Aug 08 16:58:23 UTC 2025","1","tests.unit.image","test_image","make_empty_sky_image_tests","","","test_attrs",""
"passed","Fri Aug 08 16:59:29 UTC 2025","Fri Aug 08 16:59:29 UTC 2025","17","tests.unit.schema","test_schema","","","","test_check_dict_array_attribute",""
"passed","Fri Aug 08 16:58:24 UTC 2025","Fri Aug 08 16:58:24 UTC 2025","8","tests.unit.measurement_set._utils._msv2._tables","test_read","","","","test_add_units_measures_dubious_units",""
"passed","Fri Aug 08 16:59:29 UTC 2025","Fri Aug 08 16:59:29 UTC 2025","0","tests.unit.schema","test_schema","","","","test_schema_checked_no_annotation",""
"passed","Fri Aug 08 16:58:27 UTC 2025","Fri Aug 08 16:58:27 UTC 2025","21","tests.unit.measurement_set._utils._msv2","test_partition_queries","","","","test_create_partitions_ms_min_with_field",""
"passed","Fri Aug 08 16:58:24 UTC 2025","Fri Aug 08 16:58:24 UTC 2025","1","tests.unit.measurement_set._utils._msv2._tables","test_read","","","","test_convert_mjd_time[times0-expected_result0]",""
"passed","Fri Aug 08 16:58:41 UTC 2025","Fri Aug 08 16:58:41 UTC 2025","133","tests.unit.measurement_set","test_processing_set_xdt","TestProcessingSetXdtWithData","","","test_summary[Antennae_North.cal.lsrk.split.ms]","Test the summary method on a real processing set"
"passed","Fri Aug 08 16:58:27 UTC 2025","Fri Aug 08 16:58:27 UTC 2025","0","tests.unit.measurement_set._utils._msv2","test_optimised_functions","","","","test_unique_1d[input_array2-expected_unique_array2]",""
"passed","Fri Aug 08 16:58:28 UTC 2025","Fri Aug 08 16:58:28 UTC 2025","1","tests.unit.measurement_set._utils._zarr","test_encoding","","","","test_add_encoding_wo_chunks",""
"passed","Fri Aug 08 16:58:26 UTC 2025","Fri Aug 08 16:58:26 UTC 2025","0","tests.unit.measurement_set._utils._msv2","test_conversion","","","","test_check_chunksize[chunksize2-main-expectation2]",""
"passed","Fri Aug 08 16:59:28 UTC 2025","Fri Aug 08 16:59:29 UTC 2025","55","tests.unit.measurement_set","test_processing_set_xdt","TestFunctionsAfterPreviousCalls","","","test_repeated_get_max_dims[processing_set_from_custom_ms0]","
        get_max_dims() caches its results for subsequent calls. Check that.
        "
"passed","Fri Aug 08 16:59:29 UTC 2025","Fri Aug 08 16:59:29 UTC 2025","1","tests.unit.schema","test_schema","","","","test_check_array_constructor_from_dataarray_override",""
"passed","Fri Aug 08 16:59:29 UTC 2025","Fri Aug 08 16:59:29 UTC 2025","4","tests.unit.schema","test_schema","","","","test_check_array_dask",""
"passed","Fri Aug 08 16:58:24 UTC 2025","Fri Aug 08 16:58:24 UTC 2025","0","tests.unit.measurement_set._utils._msv2._tables","test_read","","","","test_convert_casacore_time[times2-True-expected_result2]",""
"passed","Fri Aug 08 16:58:24 UTC 2025","Fri Aug 08 16:58:24 UTC 2025","1","tests.unit.measurement_set._utils._msv2._tables","test_read","","","","test_add_ephemeris_vars",""
"passed","Fri Aug 08 16:48:46 UTC 2025","Fri Aug 08 16:48:47 UTC 2025","1466","tests.stakeholder","test_measure_set_stakeholder","","","","test_lofar",""
"passed","Fri Aug 08 16:59:29 UTC 2025","Fri Aug 08 16:59:29 UTC 2025","19","tests.unit.schema","test_schema","","","","test_check_dict_dataset_attribute",""
"passed","Fri Aug 08 16:59:29 UTC 2025","Fri Aug 08 16:59:29 UTC 2025","1","tests.unit.schema","test_schema","","","","test_schema_checked_annotation_optional",""
"passed","Fri Aug 08 16:58:26 UTC 2025","Fri Aug 08 16:58:26 UTC 2025","0","tests.unit.measurement_set._utils._msv2","test_conversion","","","","test_parse_chunksize[input_chunksize1-pointing-None-expected_chunksize1-expected_error1]",""
"passed","Fri Aug 08 16:58:24 UTC 2025","Fri Aug 08 16:58:24 UTC 2025","0","tests.unit.measurement_set._utils._msv2._tables","test_read","","","","test_table_has_column_raises[ms_tab_nonexistent-DATA-expected_raises0]",""
"passed","Fri Aug 08 16:58:39 UTC 2025","Fri Aug 08 16:58:39 UTC 2025","155","tests.unit.measurement_set","test_load_processing_set","TestProcessingSetIterator","","","test_iterator_with_data_groups[Antennae_North.cal.lsrk.split.ms]","Test iterator with data group selection"
"passed","Fri Aug 08 16:59:29 UTC 2025","Fri Aug 08 16:59:29 UTC 2025","0","tests.unit.schema","test_schema","","","","test_check_array_missing_coord",""
"passed","Fri Aug 08 16:58:27 UTC 2025","Fri Aug 08 16:58:27 UTC 2025","4","tests.unit.measurement_set._utils._msv2","test_partition_queries","","","","test_create_partitions_ms_empty",""
"passed","Fri Aug 08 16:58:24 UTC 2025","Fri Aug 08 16:58:24 UTC 2025","0","tests.unit.measurement_set._utils._msv2._tables","test_read","","","","test_is_nested_ms_empty",""
"passed","Fri Aug 08 16:58:28 UTC 2025","Fri Aug 08 16:58:28 UTC 2025","1","tests.unit.measurement_set._utils._zarr","test_encoding","","","","test_add_encoding_with_wrong_chunks",""
"passed","Fri Aug 08 16:58:25 UTC 2025","Fri Aug 08 16:58:25 UTC 2025","2","tests.unit.measurement_set._utils._msv2._tables","test_read_main_table","","","","test_get_utimes_tol[where DATA_DESC_ID IN [0,1,2] AND SCAN_NUMBER = 1 AND STATE_ID = 0-expected_output3]",""
"passed","Fri Aug 08 16:58:24 UTC 2025","Fri Aug 08 16:58:24 UTC 2025","0","tests.unit.measurement_set._utils._msv2._tables","test_read","","","","test_convert_casacore_time[times0-True-expected_result0]",""
"passed","Fri Aug 08 16:58:23 UTC 2025","Fri Aug 08 16:58:23 UTC 2025","1","tests.unit.image","test_image","make_empty_sky_image_tests","","","test_polarization_coord",""
"passed","Fri Aug 08 16:58:16 UTC 2025","Fri Aug 08 16:58:16 UTC 2025","170","tests.unit.image","test_image","xds_to_casacore","","","test_object_name_not_present","
        Test writing an xds which does not have an object name
        to a casa image.
        "
"passed","Fri Aug 08 16:58:24 UTC 2025","Fri Aug 08 16:58:24 UTC 2025","1","tests.unit.measurement_set._utils._msv2._tables","test_read","","","","test_redimension_ms_subtable_phase_cal",""
"passed","Fri Aug 08 16:50:53 UTC 2025","Fri Aug 08 16:51:30 UTC 2025","36726","tests.stakeholder","test_measure_set_stakeholder","","","","test_vlass",""
"passed","Fri Aug 08 16:58:24 UTC 2025","Fri Aug 08 16:58:24 UTC 2025","3","tests.unit.measurement_set._utils._msv2._tables","test_read","","","","test_load_generic_table_antenna",""
"passed","Fri Aug 08 16:58:25 UTC 2025","Fri Aug 08 16:58:25 UTC 2025","1","tests.unit.measurement_set._utils._msv2._tables","test_read","","","","test_read_flat_col_chunk_flag",""
"passed","Fri Aug 08 16:59:29 UTC 2025","Fri Aug 08 16:59:29 UTC 2025","0","tests.unit.schema","test_schema","","","","test_check_dataset_extra_datavar",""
"passed","Fri Aug 08 16:58:23 UTC 2025","Fri Aug 08 16:58:23 UTC 2025","0","tests.unit.image","test_image","fits_to_xds_test","","","test_xds_vel_axis","Test xds has correct velocity values and metadata"
"passed","Fri Aug 08 16:58:21 UTC 2025","Fri Aug 08 16:58:21 UTC 2025","1","tests.unit.image","test_image","xds_to_zarr_to_xds_test","","","test_xds_polarization_axis","Test xds has correct stokes values"
"passed","Fri Aug 08 16:59:29 UTC 2025","Fri Aug 08 16:59:29 UTC 2025","8","tests.unit.schema","test_schema","","","","test_check_dataset_constructor_dataset_style","Test typical way to construct xarray.Dataset - using tuples"
"passed","Fri Aug 08 16:59:29 UTC 2025","Fri Aug 08 16:59:29 UTC 2025","0","tests.unit.schema","test_schema","","","","test_check_dict",""
"passed","Fri Aug 08 16:58:26 UTC 2025","Fri Aug 08 16:58:26 UTC 2025","430","tests.unit.measurement_set._utils._msv2","test_conversion","","","","test_convert_and_write_partition_min",""
"passed","Fri Aug 08 16:58:21 UTC 2025","Fri Aug 08 16:58:21 UTC 2025","1","tests.unit.image","test_image","xds_to_zarr_to_xds_test","","","test_xds_ra_dec_axis","Test xds has correct RA and Dec values and attributes"
"passed","Fri Aug 08 16:58:27 UTC 2025","Fri Aug 08 16:58:27 UTC 2025","3","tests.unit.measurement_set._utils._msv2","test_msv4_sub_xdss","","","","test_create_pointing_xds_empty",""
"passed","Fri Aug 08 16:58:27 UTC 2025","Fri Aug 08 16:58:27 UTC 2025","3","tests.unit.measurement_set._utils._msv2","test_conversion","","","","test_convert_and_write_partition_with_antenna1",""
"passed","Fri Aug 08 16:58:26 UTC 2025","Fri Aug 08 16:58:26 UTC 2025","0","tests.unit.measurement_set._utils._msv2._tables","test_read_main_table","","","","test_get_baseline_indices[unique_baselines3-baselines3-expected_output3]",""
"passed","Fri Aug 08 16:58:16 UTC 2025","Fri Aug 08 16:58:16 UTC 2025","0","tests.unit.image","test_image","casa_image_to_xds_test","","","test_xds_polarization_axis","Test xds has correct stokes values"
"passed","Fri Aug 08 16:58:25 UTC 2025","Fri Aug 08 16:58:25 UTC 2025","2","tests.unit.measurement_set._utils._msv2._tables","test_read_main_table","","","","test_get_utimes_tol[where DATA_DESC_ID IN [0,1] AND SCAN_NUMBER = 1 AND STATE_ID = 0-expected_output2]",""
"passed","Fri Aug 08 16:58:27 UTC 2025","Fri Aug 08 16:58:27 UTC 2025","1","tests.unit.measurement_set._utils._msv2","test_create_field_and_source_xds","","","","test_create_field_and_source_xds_minimal_wrong_field_ids",""
"passed","Fri Aug 08 16:58:26 UTC 2025","Fri Aug 08 16:58:26 UTC 2025","1","tests.unit.measurement_set._utils._msv2","test_conversion","","","","test_mem_chunksize_to_dict_main[0.01-pseudo_xds2-expected_chunksize2-expected_error2]",""
"passed","Fri Aug 08 16:58:27 UTC 2025","Fri Aug 08 16:58:27 UTC 2025","16","tests.unit.measurement_set._utils._msv2","test_msv4_sub_xdss","","","","test_rename_and_interpoalte_to_time_main",""
"passed","Fri Aug 08 16:58:23 UTC 2025","Fri Aug 08 16:58:23 UTC 2025","1","tests.unit.image","test_image","fits_to_xds_test","","","test_xds_ra_dec_axis","Test xds has correct RA and Dec values and attributes"
"passed","Fri Aug 08 16:58:23 UTC 2025","Fri Aug 08 16:58:23 UTC 2025","0","tests.unit.image","test_image","make_empty_aperture_image_tests","","","test_time_coord",""
"passed","Fri Aug 08 16:58:26 UTC 2025","Fri Aug 08 16:58:26 UTC 2025","0","tests.unit.measurement_set._utils._msv2","test_conversion","","","","test_mem_chunksize_to_dict_pointing[0.1-dim_sizes0-expected_chunksize0]",""
"passed","Fri Aug 08 16:58:17 UTC 2025","Fri Aug 08 16:58:18 UTC 2025","1099","tests.unit.image","test_image","casacore_to_xds_to_casacore","","","test_beam","
            Verify fix to issue 45
            https://github.com/casangi/xradio/issues/45
        irint(""*** r"", r)
        "
"passed","Fri Aug 08 16:58:23 UTC 2025","Fri Aug 08 16:58:23 UTC 2025","0","tests.unit.image","test_image","make_empty_aperture_image_tests","","","test_attrs",""
"passed","Fri Aug 08 16:58:26 UTC 2025","Fri Aug 08 16:58:26 UTC 2025","1","tests.unit.measurement_set._utils._msv2","test_conversion","","","","test_mem_chunksize_to_dict_main_balanced[0.03-dim_sizes2-expected_chunksize2]",""
"passed","Fri Aug 08 16:59:29 UTC 2025","Fri Aug 08 16:59:29 UTC 2025","1","tests.unit.schema","test_schema","","","","test_check_array_constructor_dataclass_style",""
"passed","Fri Aug 08 16:58:24 UTC 2025","Fri Aug 08 16:58:24 UTC 2025","1","tests.unit.measurement_set._utils._msv2._tables","test_read","","","","test_table_has_column[ms_minimal_required-TIME-True]",""
"passed","Fri Aug 08 16:58:25 UTC 2025","Fri Aug 08 16:58:25 UTC 2025","3","tests.unit.measurement_set._utils._msv2._tables","test_read","","","","test_read_col_conversion_dask",""
"passed","Fri Aug 08 16:58:16 UTC 2025","Fri Aug 08 16:58:16 UTC 2025","1","tests.unit.image","test_image","casa_image_to_xds_test","","","test_xds_l_m_axis","Test xds has correct l and m values and attributes"
"passed","Fri Aug 08 16:58:24 UTC 2025","Fri Aug 08 16:58:24 UTC 2025","1","tests.unit.measurement_set._utils._msv2._tables","test_read","","","","test_convert_casacore_time_to_mjd[times0-expected_result0]",""
"passed","Fri Aug 08 16:58:33 UTC 2025","Fri Aug 08 16:58:34 UTC 2025","144","tests.unit.measurement_set","test_load_processing_set","TestLoadProcessingSet","","","test_data_group_selection[Antennae_North.cal.lsrk.split.ms]","Test loading with specific data group"
"passed","Fri Aug 08 16:59:16 UTC 2025","Fri Aug 08 16:59:17 UTC 2025","1030","tests.unit.measurement_set","test_processing_set_xdt","TestProcessingSetXdtWithEphemerisData","","","test_field_offset_calculation[ALMA_uid___A002_X1003af4_X75a3.split.avg.ms]","Test that field offsets are correctly calculated"
"passed","Fri Aug 08 16:58:25 UTC 2025","Fri Aug 08 16:58:25 UTC 2025","1","tests.unit.measurement_set._utils._msv2._tables","test_read_main_table","","","","test_get_utimes_tol[-expected_output0]",""
"passed","Fri Aug 08 16:58:24 UTC 2025","Fri Aug 08 16:58:24 UTC 2025","0","tests.unit.measurement_set._utils._msv2._tables","test_read","","","","test_get_pad_value_n_polynomial",""
"passed","Fri Aug 08 16:58:16 UTC 2025","Fri Aug 08 16:58:16 UTC 2025","0","tests.unit.image","test_image","casa_image_to_xds_test","","","test_xds_no_sky","Test xds does not have sky coordinates"
"passed","Fri Aug 08 16:58:23 UTC 2025","Fri Aug 08 16:58:23 UTC 2025","0","tests.unit.image","test_image","make_empty_sky_image_tests","","","test_vel_coord",""
"passed","Fri Aug 08 16:58:24 UTC 2025","Fri Aug 08 16:58:24 UTC 2025","0","tests.unit.measurement_set._utils._msv2._tables","test_read","","","","test_find_projected_min_max_array[in_min_max10-in_array10-expected_result10]",""
"passed","Fri Aug 08 16:58:25 UTC 2025","Fri Aug 08 16:58:25 UTC 2025","2","tests.unit.measurement_set._utils._msv2._tables","test_read_main_table","","","","test_get_utimes_tol[where DATA_DESC_ID IN [0,1,2,3,4] AND SCAN_NUMBER = 1 AND STATE_ID = 0-expected_output5]",""
"passed","Fri Aug 08 16:59:29 UTC 2025","Fri Aug 08 16:59:29 UTC 2025","1","tests.unit.schema","test_schema","","","","test_check_dataset_wrong_dim",""
"passed","Fri Aug 08 16:58:23 UTC 2025","Fri Aug 08 16:58:23 UTC 2025","1","tests.unit.image","test_image","make_empty_aperture_image_tests","","","test_frequency_coord",""
"passed","Fri Aug 08 16:58:25 UTC 2025","Fri Aug 08 16:58:25 UTC 2025","2","tests.unit.measurement_set._utils._msv2._tables","test_read_main_table","","","","test_get_utimes_tol[where DATA_DESC_ID IN [0,1] AND SCAN_NUMBER = 1 AND STATE_ID = 1-expected_output7]",""
"passed","Fri Aug 08 16:58:27 UTC 2025","Fri Aug 08 16:58:27 UTC 2025","16","tests.unit.measurement_set._utils._msv2","test_msv4_sub_xdss","","","","test_create_pointing_xds_without_opt",""
"passed","Fri Aug 08 16:58:24 UTC 2025","Fri Aug 08 16:58:24 UTC 2025","0","tests.unit.measurement_set._utils._msv2._tables","test_read","","","","test_convert_casacore_time[times4-False-expected_result4]",""
"passed","Fri Aug 08 16:58:23 UTC 2025","Fri Aug 08 16:58:23 UTC 2025","0","tests.unit.image","test_image","make_empty_sky_image_tests","","","test_dims_and_coords",""
"passed","Fri Aug 08 16:58:16 UTC 2025","Fri Aug 08 16:58:16 UTC 2025","1","tests.unit.image","test_image","casa_image_to_xds_test","","","test_xds_frequency_axis","Test xds has correct frequencyuency values and metadata"
