"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","109","test_create_partitions_ms_min_with_antenna1","tests.unit.measurement_set._utils._msv2","Tue Jul 08 19:15:19 GMT 2025","passed","Tue Jul 08 19:15:19 GMT 2025","","test_partition_queries","",""
"","26","test_create_antenna_xds_misbehaved","tests.unit.measurement_set._utils._msv2","Tue Jul 08 19:15:18 GMT 2025","passed","Tue Jul 08 19:15:18 GMT 2025","","test_create_antenna_xds","",""
"","2","test_get_utimes_tol[where DATA_DESC_ID IN [0,1,2,3,4] AND SCAN_NUMBER = 1 AND STATE_ID = 0-expected_output5]","tests.unit.measurement_set._utils._msv2._tables","Tue Jul 08 19:15:15 GMT 2025","passed","Tue Jul 08 19:15:15 GMT 2025","","test_read_main_table","",""
"","26","test_create_pointing_xds_without_opt","tests.unit.measurement_set._utils._msv2","Tue Jul 08 19:15:18 GMT 2025","passed","Tue Jul 08 19:15:18 GMT 2025","","test_msv4_sub_xdss","",""
"","4","test_read_col_conversion_dask","tests.unit.measurement_set._utils._msv2._tables","Tue Jul 08 19:15:15 GMT 2025","passed","Tue Jul 08 19:15:15 GMT 2025","","test_read","",""
"","0","test_is_nested_ms_empty","tests.unit.measurement_set._utils._msv2._tables","Tue Jul 08 19:15:14 GMT 2025","passed","Tue Jul 08 19:15:14 GMT 2025","","test_read","",""
"","192","test_overwrite","tests.unit.image","Tue Jul 08 19:15:13 GMT 2025","passed","Tue Jul 08 19:15:13 GMT 2025","write_image_test","test_image","",""
"","1","test_find_projected_min_max_array[in_min_max2-in_array2-expected_result2]","tests.unit.measurement_set._utils._msv2._tables","Tue Jul 08 19:15:13 GMT 2025","passed","Tue Jul 08 19:15:13 GMT 2025","","test_read","",""
"","1","test_load_generic_cols_state","tests.unit.measurement_set._utils._msv2._tables","Tue Jul 08 19:15:15 GMT 2025","passed","Tue Jul 08 19:15:15 GMT 2025","","test_read","",""
"","1","test_make_taql_where_between_min_max[in_min_max1-where TIME >= -8.881784197001252e-16 AND TIME <= 3000000000.0]","tests.unit.measurement_set._utils._msv2._tables","Tue Jul 08 19:15:13 GMT 2025","passed","Tue Jul 08 19:15:14 GMT 2025","","test_read","",""
"Test xds has correct RA and Dec values and attributes","1","test_xds_ra_dec_axis","tests.unit.image","Tue Jul 08 19:15:12 GMT 2025","passed","Tue Jul 08 19:15:12 GMT 2025","fits_to_xds_test","test_image","",""
"","1","test_polarization_coord","tests.unit.image","Tue Jul 08 19:15:12 GMT 2025","passed","Tue Jul 08 19:15:12 GMT 2025","make_empty_aperture_image_tests","test_image","",""
"","1","test_unique_1d[input_array1-expected_unique_array1]","tests.unit.measurement_set._utils._msv2","Tue Jul 08 19:15:18 GMT 2025","passed","Tue Jul 08 19:15:18 GMT 2025","","test_optimised_functions","",""
"","622","test_get_img_ds_block","tests.unit.image","Tue Jul 08 19:14:49 GMT 2025","passed","Tue Jul 08 19:14:49 GMT 2025","casa_image_to_xds_test","test_image","",""
"","1","test_make_taql_where_between_min_max[in_min_max0-where TIME >= -8.881784197001252e-16 AND TIME <= 2000000000.0]","tests.unit.measurement_set._utils._msv2._tables","Tue Jul 08 19:15:13 GMT 2025","passed","Tue Jul 08 19:15:13 GMT 2025","","test_read","",""
"Test xds has correct velocity values and metadata","3","test_xds_vel_axis","tests.unit.image","Tue Jul 08 19:14:52 GMT 2025","passed","Tue Jul 08 19:14:52 GMT 2025","casa_image_to_xds_test","test_image","",""
"","1","test_find_projected_min_max_array[in_min_max7-in_array7-expected_result7]","tests.unit.measurement_set._utils._msv2._tables","Tue Jul 08 19:15:13 GMT 2025","passed","Tue Jul 08 19:15:13 GMT 2025","","test_read","",""
"Test typical way to construct xarray.Dataset - using tuples","13","test_check_dataset_constructor_dataset_style","tests.unit.schema","Tue Jul 08 19:17:34 GMT 2025","passed","Tue Jul 08 19:17:34 GMT 2025","","test_schema","",""
"","8","test_check_array_dask","tests.unit.schema","Tue Jul 08 19:17:34 GMT 2025","passed","Tue Jul 08 19:17:34 GMT 2025","","test_schema","",""
"","0","test_find_projected_min_max_array[in_min_max8-in_array8-expected_result8]","tests.unit.measurement_set._utils._msv2._tables","Tue Jul 08 19:15:13 GMT 2025","passed","Tue Jul 08 19:15:13 GMT 2025","","test_read","",""
