"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 08 11:04:47 UTC 2025","Tue Jul 08 11:04:50 UTC 2025","2378","tests.stakeholder","test_measure_set_stakeholder","","","","test_lofar",""
"passed","Tue Jul 08 11:04:25 UTC 2025","Tue Jul 08 11:04:28 UTC 2025","2819","tests.stakeholder","test_image_stakeholder","","","","test_image",""
"broken","Thu Jan 01 00:00:00 UTC 1970","Thu Jan 01 00:00:00 UTC 1970","0","","","","","","Tests for xradio",""
"passed","Tue Jul 08 11:05:07 UTC 2025","Tue Jul 08 11:05:10 UTC 2025","3305","tests.stakeholder","test_measure_set_stakeholder","","","","test_ngeht",""
"passed","Tue Jul 08 11:05:10 UTC 2025","Tue Jul 08 11:05:17 UTC 2025","7014","tests.stakeholder","test_measure_set_stakeholder","","","","test_ephemeris",""
"passed","Tue Jul 08 11:04:28 UTC 2025","Tue Jul 08 11:04:38 UTC 2025","10192","tests.stakeholder","test_measure_set_stakeholder","","","","test_alma",""
"passed","Tue Jul 08 11:05:00 UTC 2025","Tue Jul 08 11:05:07 UTC 2025","6961","tests.stakeholder","test_measure_set_stakeholder","","","","test_vlba",""
"passed","Tue Jul 08 11:04:42 UTC 2025","Tue Jul 08 11:04:47 UTC 2025","5551","tests.stakeholder","test_measure_set_stakeholder","","","","test_ska_mid",""
"passed","Tue Jul 08 11:04:38 UTC 2025","Tue Jul 08 11:04:42 UTC 2025","3980","tests.stakeholder","test_measure_set_stakeholder","","","","test_ska_low",""
"passed","Tue Jul 08 11:04:50 UTC 2025","Tue Jul 08 11:04:53 UTC 2025","3583","tests.stakeholder","test_measure_set_stakeholder","","","","test_meerkat",""
"passed","Tue Jul 08 11:04:53 UTC 2025","Tue Jul 08 11:05:00 UTC 2025","6759","tests.stakeholder","test_measure_set_stakeholder","","","","test_global_vlbi",""
